Filename English,modal_name,Modal name agreement (%),H value,DKO (%),DKN (%),TOT (%),Modal category,Category agreement (%),Hcat,Familiarity,Visual complexity,Object agreement,Viewpoint agreement,NMI,Manipulability,Living/non-living,modal_name_clean
50dollarsbill.jpg,50$ bill,0.3684210526315789,2.7911718104484082,0,0,0,Jewel,0.8461538461538461,0.8438664896060322,4.461538461538462,2.948717948717949,4.28125,4.181818181818182,1,1.696969696969697,NL,50$ bill
alarmclock.jpg,Alarm clock,0.4444444444444444,2.4166079048099856,0.05128205128205128,0.02564102564102564,0,Electronic,0.8648648648648649,0.863790149747272,4.378378378378378,3.0789473684210527,3.121212121212121,3.727272727272727,0,2.090909090909091,NL,Alarm clock
antenna.jpg,Antenna,0.7419354838709677,1.3399406655703816,0.10256410256410256,0.05128205128205128,0.05128205128205128,Electronic,0.8285714285714286,1.1167000853965077,3.2432432432432434,3.0526315789473686,3,3.6363636363636362,0,1.9393939393939394,NL,Antenna
ashtray01.jpg,Ashtray *,0.918918918918919,0.5344875115070162,0,0.05128205128205128,0,Other,0.4444444444444444,1.8630104105299066,3.918918918918919,2.6315789473684212,4.121212121212121,4.454545454545454,0,3.242424242424242,NL,Ashtray
axe.jpg,Axe *,0.7647058823529411,1.4341854097306803,0.02564102564102564,0.07692307692307693,0.02564102564102564,Tool,0.7692307692307693,1.2727837550899965,3.717948717948718,2.3846153846153846,4.151515151515151,3.606060606060606,0,3.9696969696969697,NL,Axe
babybottle.jpg,Baby bottle,0.2903225806451613,2.8838476178906154,0,0.20512820512820512,0,Kitchen item,0.6666666666666666,1.3905783305058885,3.5641025641025643,2.4615384615384617,3.8214285714285716,3.8666666666666667,4,2.3333333333333335,NL,Baby bottle
babyseat.jpg,Baby seat,0.3142857142857143,3.370325222392473,0.02564102564102564,0.05128205128205128,0.02564102564102564,Other,0.40625,2.4853048652364227,3.2972972972972974,2.3513513513513513,3.03125,3.65625,0,2.25,NL,Baby seat
backpack01a.jpg,Backpack,0.7692307692307693,1.3376687478258629,0,0,0,Sport,0.47368421052631576,1.6068322783181095,4.666666666666667,3.3846153846153846,4.09375,3.34375,1,3.28125,NL,Backpack
bag.jpg,Bag,0.3684210526315789,3.0590519373979617,0,0.02564102564102564,0,Other,0.4594594594594595,1.8732788591448477,3.7567567567567566,2.972972972972973,3.40625,3.032258064516129,0,2.225806451612903,NL,Bag
bagel.jpg,Bagel,0.868421052631579,0.5617526078313281,0,0,0.02564102564102564,Food,0.9743589743589743,0.2075771740639564,4.487179487179487,2.6153846153846154,4.818181818181818,4.606060606060606,0,1.878787878787879,NL,Bagel
ball02.jpg,Ball *,0.8823529411764706,0.6180038597674269,0.07692307692307693,0.05128205128205128,0,Toy,0.6176470588235294,1.6496525930759627,3.388888888888889,1.6486486486486487,3.46875,4.0625,0,3.5,NL,Ball
balloon01b.jpg,Balloon *,0.8717948717948718,0.8501782034132341,0,0,0,Toy,0.5384615384615384,1.8549891326856203,4.435897435897436,1.8974358974358974,4.0625,3.1875,1,3.2903225806451615,NL,Balloon
bandage.jpg,Bandage,0.4230769230769231,2.746261437095948,0.07692307692307693,0.15384615384615385,0.10256410256410256,Medical,0.6666666666666666,1.6816922801269265,3.8378378378378377,2.4324324324324325,3.5757575757575757,3.6666666666666665,0,2.4545454545454546,NL,Bandage
bandaid01.jpg,Band-aid,0.75,1.3501878900165245,0.07894736842105263,0.07894736842105263,0,Medical,0.47058823529411764,1.8090728622445904,3.891891891891892,1.8611111111111112,4,3.6363636363636362,0,3.212121212121212,NL,Band-aid
baseball01a.jpg,Baseball,0.8717948717948718,0.7988961521311829,0,0,0,Sport,0.8974358974358975,0.560279318984369,3.8205128205128207,2.4358974358974357,4.7272727272727275,4.818181818181818,0,3.484848484848485,NL,Baseball
bastingbrush.jpg,Brush,0.36666666666666664,3.4132694187027277,0.07692307692307693,0.1282051282051282,0.02564102564102564,Kitchen item,0.5833333333333334,1.916639948566854,3.4324324324324325,2.027027027027027,2.606060606060606,2.787878787878788,0,3.0303030303030303,NL,Brush
battery02b.jpg,Battery,0.9473684210526315,0.350103827866658,0,0,0,Electronic,0.8378378378378378,0.8738811701185576,4.578947368421052,2.1842105263157894,3.727272727272727,3.484848484848485,0,1.606060606060606,NL,Battery
beermug01a.jpg,Beer mug,0.2564102564102564,3.1411547084663427,0,0,0,Kitchen item,0.8421052631578947,0.7742433029172696,4.3076923076923075,2.6666666666666665,4.545454545454546,4.575757575757576,0,3.46875,NL,Beer mug
belt02a.jpg,Belt *,0.9487179487179487,0.3431003078809371,0,0,0,Cloth,1,0,4.384615384615385,2.0256410256410255,4.3125,4.290322580645161,0,3.84375,NL,Belt
bib.jpg,Bib,0.84375,0.8394734356069649,0,0.08108108108108109,0.05405405405405406,Cloth,0.717948717948718,1.3337172747099444,3.7948717948717947,2.5384615384615383,4.068965517241379,3.966666666666667,4,2.6666666666666665,NL,Bib
bikehelmet.jpg,Helmet,0.5,1.8866071775466908,0,0.02564102564102564,0,Sport,0.9487179487179487,0.3431003078809371,4.128205128205129,2.9743589743589745,4.424242424242424,4.3125,0,2.8484848484848486,NL,Helmet
binder03b.jpg,Binder,0.6842105263157895,1.4620612732838056,0,0,0.02564102564102564,School supply,1,0,4.384615384615385,1.9743589743589745,4,3.34375,0,2.21875,NL,Binder
binoculars01b.jpg,Binoculars,0.9714285714285714,0.18717625687320832,0,0.05128205128205128,0.05128205128205128,Sport,0.6756756756756757,1.5238325855829917,4.0256410256410255,3.4615384615384617,4.757575757575758,4.181818181818182,0,4.363636363636363,NL,Binoculars
